tag_id,tag_name
0,お花見、春
1,キャンプ
2,バレンタイン
3,ホワイトレー
4,大学生活
5,高校生活
6,教育
7,結婚式参列
8,進路
9,就活
10,恋愛
11,留学
12,勉強
13,納税
14,入試
15,仕事
16,投資
17,新生活
18,引越し
19,育児
20,運転
21,運動
