user_id,post_id,category_id,age,gender,occupation
0,4,0,,,
0,35,1,,,
0,37,1,,,
0,43,1,,,
0,45,1,,,
0,49,1,,,
0,19,5,,,
0,32,8,,,
0,38,4,,,
0,41,8,,,
0,48,8,,,
0,64,6,,,
0,66,6,,,
0,72,4,,,
0,73,8,,,
0,74,8,,,
0,77,14,,,
0,78,14,,,
0,84,4,,,
0,87,8,,,
0,5,5,,,
0,7,5,,,
0,62,9,,,
0,71,4,,,
0,102,11,,,
0,2,15,,,
0,27,5,,,
0,25,15,,,
0,46,12,,,
0,56,15,,,
0,58,15,,,
0,70,15,,,
0,79,7,,,
0,94,21,,,
0,97,7,,,
0,105,15,,,
0,1,15,,,
0,12,15,,,
0,13,15,,,
0,14,15,,,
0,17,15,,,
0,50,15,,,
0,51,15,,,
0,54,15,,,
0,59,15,,,
0,60,15,,,
0,15,15,,,
0,52,15,,,
0,53,15,,,
0,55,15,,,
0,57,15,,,
0,61,15,,,
0,34,1,,,
0,39,1,,,
0,40,1,,,
0,42,1,,,
0,47,1,,,
0,31,0,,,
0,36,1,,,
0,67,18,,,
0,68,18,,,
0,80,17,,,
0,85,17,,,
0,88,18,,,
0,96,17,,,
0,106,17,,,
0,33,9,,,
0,81,9,,,
0,86,9,,,
0,90,9,,,
0,91,9,,,
0,92,9,,,
0,93,9,,,
0,95,9,,,
0,98,9,,,
0,110,9,,,
0,3,10,,,
0,6,5,,,
0,8,10,,,
0,9,5,,,
0,10,0,,,
0,11,0,,,
0,16,0,,,
0,18,0,,,
0,20,10,,,
0,21,10,,,
0,22,10,,,
0,23,10,,,
0,26,10,,,
0,28,10,,,
0,29,10,,,
0,30,10,,,
0,44,16,,,
0,65,10,,,
0,82,17,,,
0,83,10,,,
0,89,20,,,
0,99,3,,,
0,100,10,,,
0,101,11,,,
0,104,2,,,
0,107,5,,,
0,108,10,,,
0,109,5,,,
0,24,19,,,
0,63,6,,,
0,69,19,,,
0,75,19,,,
0,76,19,,,
0,103,13,,,
